รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103144,ศพด.เขาสระนางสรง,,,,นิคมเขบ่อแก้ว,พยุหะคีรี,นครสวรรค์,,,,,
60103145,ศพด.บ้านโป่งสวรรค์,,,,นิคมเขบ่อแก้ว,พยุหะคีรี,นครสวรรค์,,,,,
60103146,ศพด.วัดสระประทุม,,,,นิคมเขบ่อแก้ว,พยุหะคีรี,นครสวรรค์,,,,,
60103147,ศพด.วัดคลองบางเดื่อ,,,,น้ำทรง,พยุหะคีรี,นครสวรรค์,,,,,
60103148,ศพด.เนินมะกอก,,,,เนินมะกอก,พยุหะคีรี,นครสวรรค์,,,,,
60103149,ศพด.บ้านทรัพย์ผักกาด,,,,เขากะลา,พยุหะคีรี,นครสวรรค์,,,,,
60103150,ศพด.เขาสามยอด,,,,เขากะลา,พยุหะคีรี,นครสวรรค์,,,,,
60103151,ศพด.ย่านคีรี,,,,เขากะลา,พยุหะคีรี,นครสวรรค์,,,,,
60103152,ศพด.ห้วยบง,,,,เขากะลา,พยุหะคีรี,นครสวรรค์,,,,,
60103153,ศพด.หนองเต่า,,,,เขากะลา,พยุหะคีรี,นครสวรรค์,,,,,
60103154,ศพด.พยุหะ,,,,พยุหะ,พยุหะคีรี,นครสวรรค์,,,,,
60103155,ศพด.ตำบลย่านมัทรี,,,,ย่านมัทรี,พยุหะคีรี,นครสวรรค์,,,,,
60103156,ศพด.พยุหะ,,,,พยุหะ,พยุหะคีรี,นครสวรรค์,,,,,
60103157,ศพด.บ้านวังกระโดนน้อย,,,,ตะคร้อ,ตะคร้อ,นครสวรรค์,,,,,
60103158,ศพด.หนองผักแว่น,,,,ตะคร้อ,ตะคร้อ,นครสวรรค์,,,,,
60103159,ศพด.บ้านวังกระโดนใหญ่,,,,ตะคร้อ,ตะคร้อ,นครสวรรค์,,,,,
60103160,ศพด.บ้านเขาใหญ่,,,,นาขอม,ไพศาลี,นครสวรรค์,,,,,
60103161,ศพด.นาขอม,,,,นาขอม,ไพศาลี,นครสวรรค์,,,,,
60103162,ศพด.บ้านเนินบ่อทอง,,,,นาขอม,ไพศาลี,นครสวรรค์,,,,,
60103163,ศพด.บ้านเขาช้างฟุบ,,,,นาขอม,ไพศาลี,นครสวรรค์,,,,,
60103164,ศพด.ตะเคียนทอง,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103165,ศพด.บ้านวังทองประชานุกูล,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103166,ศพด.บ้านไร่ประชาสรรค์,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103167,ศพด.บ้านโค้งสวอง,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103168,ศพด.บ้านบ่อไทยสามัคคี,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103169,ศพด.บ้านโพธิ์ประสาท,,,,โพธิ์ประสาท,ไพศาลี,นครสวรรค์,,,,,
60103170,ศพด.วังข่อย,,,,วังข่อย,ไพศาลี,นครสวรรค์,,,,,
60103171,ศพด.บ้านกระทุ่มทอง,,,,วังข่อย,ไพศาลี,นครสวรรค์,,,,,
60103172,ศพด.บ้านหนองสะแกยาว,,,,วังข่อย,ไพศาลี,นครสวรรค์,,,,,
60103173,ศพด.บ้านหัวพู,,,,วังข่อย,ไพศาลี,นครสวรรค์,,,,,
60103174,ศพด.บ้านซับสมบูรณ์,,,,วังข่อย,ไพศาลี,นครสวรรค์,,,,,
60103175,ศพด.เขาดิน,,,,วังน้ำลัด,ไพศาลี,นครสวรรค์,,,,,
60103176,ศพด.บ้านร่องหอย,,,,วังน้ำลัด,ไพศาลี,นครสวรรค์,,,,,
60103177,ศพด.บ้านเขาหินกลิ้ง,,,,วังน้ำลัด,ไพศาลี,นครสวรรค์,,,,,
60103178,ศพด.บ้านวังน้ำลัด,,,,วังน้ำลัด,ไพศาลี,นครสวรรค์,,,,,
60103179,ศพด.บ้านโพธิ์ศรี,,,,วังน้ำลัด,ไพศาลี,นครสวรรค์,,,,,
60103180,ศพด.ไพศาลี,,,,เทศบาลตำบลไพศาลี,ไพศาลี,นครสวรรค์,,,,,
60103181,ศพด.บ้านโศกมะขวิด,,,,สำโรงชัย,ไพศาลี,นครสวรรค์,,,,,
60103182,ศพด.วัดบ้านใหม่,,,,สำโรงชัย,ไพศาลี,นครสวรรค์,,,,,
60103183,ศพด.สำโรงชัย,,,,สำโรงชัย,ไพศาลี,นครสวรรค์,,,,,
60103184,ศพด.บ้านพระพุทธบาทประสาธน์วิทย์,,,,สำโรงชัย,ไพศาลี,นครสวรรค์,,,,,
60103185,ศพด.บ้านเขาธรรมบท,,,,สำโรงชัย,ไพศาลี,นครสวรรค์,,,,,
60103186,ศพด.บ้านโคกสามัคคี,,,,ไพศาลี,ไพศาลี,นครสวรรค์,,,,,
60103187,ศพด.บ้านหนองเสือ,,,,ไพศาลี,ไพศาลี,นครสวรรค์,,,,,
60103188,ศพด.บ้านคลองตักน้ำ,,,,โคกเดื่อ,ไพศาลี,นครสวรรค์,,,,,
60103189,ศพด.บ้านห้วยตะโก,,,,โคกเดื่อ,ไพศาลี,นครสวรรค์,,,,,
