รหัสเขตพื้นที่การศึกษา,ชื่อเขตพื้นที่การศึกษา,รหัสโรงเรียน (smis),percode รหัส 6 หลัก,รหัสกระทรวง (10 หลัก),ชื่อโรงเรียน,ลำดับ,แปลงที่,ตารางวา,งาน,ไร่,กรรมสิทธิ์การถือครอง
60030000,สพป.นครสวรรค์ เขต 3,60030083,220231,1060220231,วัดลาดทิพยรส,1,1,33.0,2,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030083,220231,1060220231,วัดลาดทิพยรส,2,2,52.0,2,15,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030084,220232,1060220232,วัดหนองคูน้อย,1,แปลงที่ 1,41.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030086,220234,1060220234,บ้านราษฎร์เจริญ,1,1,3.0,3,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030087,220253,1060220253,วัดทุ่งทะเลทราย,1,1,20.0,2,5,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030088,220254,1060220254,บ้านโคกกร่าง,1,1,18.0,0,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030089,220203,1060220203,บ้านเขาปูน,1,1,20.0,2,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030089,220203,1060220203,บ้านเขาปูน,2,2,93.0,2,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030090,220204,1060220204,บ้านหนองตาราม,1,1,60.0,1,19,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030091,220205,1060220205,บ้านหนองไม้แดง,1,1,50.0,1,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030092,220206,1060220206,บ้านหนองปืนแตก,1,1,88.0,0,16,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,1,1,37.0,2,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,2,2,8.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,3,3,8.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030094,220199,1060220199,วัดหนองโพ(นิวาสานุสรณ์),1,1,0.0,0,12,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030095,220200,1060220200,วัดวาปีรัตนาราม,1,1,39.0,1,6,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030096,220201,1060220201,บ้านหนองเต็งรัง,1,1,0.0,2,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030097,220202,1060220202,วัดห้วยดุก,1,1,24.0,0,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030098,220240,1060220240,วัดหนองหม้อ,1,1,29.0,3,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030099,220241,1060220241,บ้านหนองแอก,1,1,0.0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030100,220242,1060220242,บ้านหนองสีซอ,1,1,0.0,2,1,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030100,220242,1060220242,บ้านหนองสีซอ,2,2,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030101,220257,1060220257,บ้านห้วยหอม,1,1,0.0,0,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030102,220258,1060220258,บ้านโคกเจริญ,1,1,70.0,2,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030103,220259,1060220259,บ้านหนองบัวทอง,1,1,0.0,0,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030104,220260,1060220260,บ้านหนองบัวตากลาน,1,ที่ราชพัสดุ,0.0,0,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030105,220261,1060220261,บ้านลาดตะกุด(สูงทองกาญจนาประชานุสรณ์),1,1,1.0,3,8,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030106,220262,1060220262,วัดเขาดุม,1,ที่ราชพัสดุ,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030107,220207,1060220207,ชุมชนบ้านหัวหวาย,1,1,80.0,3,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030108,220208,1060220208,บ้านหนองลาด(ราษฎร์ประสิทธิ์ฯ),1,1,0.0,0,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030110,220210,1060220210,บ้านสายน้ำทิพย์,1,1,36.0,0,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030112,220213,1060220213,รวมมิตรวิทยา(คังคะเกตุอุปถัมภ์),1,1,9.0,2,13,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030113,220214,1060220214,บ้านหนองพังพวย,1,1,40.0,1,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030114,220265,1060220265,วัดดอนคา,1,1,80.0,2,10,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030115,220266,1060220266,บ้านเขาล้อ(เขาล้อประชาชนูทิศ),1,ที่ราชพัสดุ,18.0,2,18,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030115,220266,1060220266,บ้านเขาล้อ(เขาล้อประชาชนูทิศ),2,ที่ราชพัสดุ,35.0,0,35,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030116,220267,1060220267,บ้านวังแรง,1,1,22.0,2,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030117,220268,1060220268,บ้านตุ๊กแก,1,1,0.0,3,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030120,220272,1060220272,อนุบาลท่าตะโก,1,1,11.0,2,39,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030120,220272,1060220272,อนุบาลท่าตะโก,2,2,52.0,2,14,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030120,220272,1060220272,อนุบาลท่าตะโก,3,3,0.0,2,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030121,220273,1060220273,วัดท่าตะโก,1,โรงเรียนวัดท่าตะโก,1.0,0,5,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030123,220275,1060220275,บ้านเขาน้อย,1,1,0.0,2,25,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030124,220285,1060220285,บ้านหนองกระโดน,1,1,80.0,2,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030125,220286,1060220286,บ้านทำนบ,1,นว.750,93.0,3,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030125,220286,1060220286,บ้านทำนบ,2,นว.788,8.0,0,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030128,220276,1060220276,บ้านพนมรอก,1,2,0.0,2,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030128,220276,1060220276,บ้านพนมรอก,2,-,0.0,0,0,-
60030000,สพป.นครสวรรค์ เขต 3,60030128,220276,1060220276,บ้านพนมรอก,3,-,0.0,0,0,-
60030000,สพป.นครสวรรค์ เขต 3,60030130,220299,1060220299,บ้านหนองไผ่,1,ที่ดินที่ตั้งโรงเรียน,14.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030131,220315,1060220315,วังวิทยา,1,1,50.0,1,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030132,220296,1060220296,วัดคร่อเรียงราย,1,1,50.0,1,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030132,220296,1060220296,วัดคร่อเรียงราย,2,2,55.0,2,0,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030133,220297,1060220297,บ้านคลองบอน,1,1,0.0,1,6,ที่ราชพัสดุ
